gold_id,is_common_sample,assigned_to,candidate_group,rating,rating_num,content_norm,goods_name,brand_name,option_text,analysis_category,survey_size,survey_color,survey_thickness,survey_stretch,strong_complaint_matches,weak_topic_matches,risky_common_matches,positive_matches,has_contrast_marker,late_delivery,wrong_item,missing_item,damaged_on_arrival,packaging_issue,size_large,size_small,fit_dissatisfaction,finish_defect,durability,contamination,fabric_issue,thickness,poor_comfort,color_mismatch,design_mismatch,price_dissatisfaction,other_complaint,uncertain,labeler,label_notes,is_complaint_auto,coarse_labels_auto,review_id,goods_no,,label_notes,의논여부,,cross_notes
G0011,1,ALL,clear_complaint_low_rating,3,3,두께감 있어서 탄탄하고 힘 있는 핏이 좋아요 흐물흐물 xx 다만 생각보다 풍채 있어 보이고 지퍼 근처 털이 끼거나 보풀처럼 일어나요,W 부클 라운드넥 니트 집업 (LIGHT BEIGE),토피 우먼,OS,아우터,조금 큼,어두움,,,보풀,"핏, 핏이, 두께, 두께감","다, 좋아, 보다, 있어, 생각, 생각보다, 있어서, 다만","좋아요, 탄탄하고",TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,member1,,,,82084080,4396961,,핏이 좋다+생각보다 풍채 있어 보인다 > 핏 불만족은 아니지만 판단 불확실,,타인이 아닌 본인에게만 문제있으면 불만,
G0012,0,member5,clear_non_complaint_rating5,5,5,쫀쫀하고 좋아요 런닝용 레깅스로 추천드립니다,컴프레션 레깅스 (블랙),무신사 스탠다드 스포츠,M,하의,,,,,,,"다, 좋아, 추천, 드립니다",좋아요,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member5,,,,68849445,1466284,,,,,
G0013,0,member2,partial_complaint_in_rating5,5,5,"저렴한 가격에 구매할 수 있어서 좋았아요. 마감 양호하고, 배송도 빠르네요. 3개라 운동할 때 잘 사용하겠어요.",[3PACK] ZK 공용 스포츠 에어쿨링 메쉬 헤어 밴드,시글락,FREE,패션소품/액세서리,,,,,마감,"가격, 배송, 가격에, 배송도","잘, 수, 때, 할, 있어, 있어서, 운동, 사용, 할 때, 할 수, 저렴한","수 있어, 운동할, 운동할 때, 때 잘",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,77435803,3986284,,,,,
G0014,0,member5,partial_complaint_in_rating5,5,5,"일단 원단이 부드럽고, 비침이 살짝 있어서 다양한 레이어드를 할 수 있어요! 보풀나고 옷이 빨면 조금 늘어나긴하는데 색감도 너무 예쁘고 추천입니다아",시어 카라 탑_블루 그린,크랭크,FREE,상의,,,,,보풀,"색, 색감, 원단, 색감도, 원단이, 색감도 너무","다, 면, 수, 할, 있어, 입니다, 옷, 긴, 살, 있어서, 조금, 추천, 살짝, 있어요, 옷이, 일단, 할 수, 레이어드","수 있어, 부드럽고, 너무 예쁘고, 다양한",FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,member5,,,,76450638,3845218,,,,,
G0015,0,member2,ambiguous_low_rating_topic_only,3,3,기존에 입고있던 제품 재구매한거라 믿고 입고 있습니다~,베이직 오버핏 와이드 숄더 후디_네이비,아스트랄 프로젝션,L,상의,,,,,,제품,"다, 입고, 있습니다",,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,72893403,3609512,,,,,
G0016,,member4,clear_non_complaint_rating5,5,5,팬티사이즈를 전엔 S를 시켰었는데 전체둘레가 저한테는 작더라고요. 그래서 이번엔 팬티사이즈를 M으로 시켜봤더니 딱 맞네요. 색이 차분한게 예쁘게나왔어요.,오가닉 오! SET (브라1+팬티1)_베이지,비브비브,S · M,속옷/홈웨어,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member4,,,,28127382,1416514,,,,,
G0017,0,member1,ambiguous_low_rating_topic_only,3,3,기장이 좀더 길었으면 좋겠네요 그리고 비침이 심해요,여성 피치기모 곰돌이 카라 긴팔 잠옷 원피스,에이원,아이보리 · XL,속옷/홈웨어,,,,,,"기장, 기장이","면, 더, 해요",,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,member1,,,,54915097,3558926,,전체적 사이즈가 아닌 기장 불만은 핏 불만족으로 체크,,해당사항에 불만 있다고 판정되는모든 라벨은 판정,
G0018,1,ALL,mixed_or_partial_rating4,4,4,얇은데 더워요. 그래도 남편과 아들 커플로 입고 찰칵!이뻐요!!,[SET] 스테디 라이트 반팔 아노락 3P 셋업 챠콜,에스릿 스튜디오,반팔 아노락 L · 반바지 XL,아우터,,,,,,얇은,"들, 더, 입고, 이뻐요, 아들",,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,member1,,,,30068109,2000141,,반팔이 얇은데 덥다는 점은 원단 소재의 문제라고 판단.,,불만인 리뷰 명확한데 해당사항 없으면 other,
G0019,0,member2,mixed_or_partial_rating4,4,4,디자인 진짜 내 완식. 줄이 생각보다 얇음 그래도 넘 이뻐서 차고다님,JA-1112 라운드 여성가죽시계,쥴리어스,A,패션소품/액세서리,,,,,,디자인,"다, 보다, 생각, 생각보다, 넘, 이뻐서",,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,64023644,3211166,,,,,
G0020,,member4,partial_complaint_in_rating5,5,5,친구 아기가 있어서 신청해봤는데 체험단 당첨되었습니다. 감사해요. 당첨이지만 앞부분에 이염이있어서 아쉬웠어요ㅠ 그래도 컬러나 무늬덕에 눈에 잘 띄지는 않지만 .. 아기 침묻으면 저런 무늬 생길것 같기도?? 다행히 턱받이를 매번 해서 괜찮을것 같아요. 긴팔은 아니고 반팔도 아니구 약간 7부? 같아요. 애매할땐 밑단 두어번 접어서 실내복으로 입히기 좋을것 같아요. 실제로 받아보니 비숑 무늬 귀엽네요. 쪼끔 보들보들한 재질이 아니라서 당황했지만 세탁한번 하니 보들보들 해지네요 이제 12개월 아기한테 잘 맞습니당. 후뚜루 마뚜루 실내복 후기였습니다.,라운지웨어_비숑 베르,꼬떼드무어,90,키즈,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,member4,,,,57457013,3655848,,,,,
G0021,0,member1,partial_complaint_in_rating5,5,5,사이즈도 적당하고 밑에 스트링 조여서 입으면 이쁜 핏 나오는거 같아요 굿,[23SS] Y.E.S Windbreaker Black,예스아이씨,M,아우터,,,,,조여서,"사이즈, 핏, 사이즈도","면, 같아, 같아요, 거 같아요, 입으면, 오는","적당하고, 굿, 이쁜",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,61507681,3068843,,불만 없음,,학습 할 때 상품명도 같이 보게 하기,
G0022,0,member2,partial_complaint_in_rating5,5,5,핏도 이쁘고 색감이 별로 겹치는사람을 못봐서 좋습니다,엠씨 트윌코튼 바시티 자켓 (GREEN),그레이블러밧,L,아우터,,,,,별로,"색, 핏, 색감, 핏도, 색감이, 핏도 이쁘고","다, 감이",좋습니다,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,50512058,3154420,,,,,
G0023,0,member1,mixed_or_partial_rating4,4,4,묘하게 불편한게 어쩔수없는듯.. 그냥 첨부터 굽이있는 신발을 사는게 답이다,키높이 하프 인솔 [2COLORS],드로우핏,WHITE · 1.5CM,신발,,,,,불편,,"다, 수, 하게, 듯, 신발, 없는, 편한, 첨",,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,member1,,,,77239547,3305119,,,,,
G0024,0,member2,clear_complaint_low_rating,2,2,옷 자체는 사진과 유사하나.. 냄새가 진짜 너무너무 심합니다.. 포장 뜯자마자.. 냄새가 너무 심해서 옷을 입어보지도 못하고 세탁소 맡겼습니다 ㅠㅠ,어반 어센틱 플리스 자켓_아이보리,어반에이지,아이보리 · L,아우터,정사이즈,화면과 비슷,적당함,,"냄새가, 냄새가 너무, 뜯자마자, 냄새가 너무 심해서, 냄새가 진짜",,"다, 해서, 합니다, 옷, 입어, 하나, 포장, 너무너무",,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,member2,,,,80156068,2777787,,,,,
G0025,0,member2,partial_complaint_in_rating5,5,5,핏 너무 예쁘게 떨어지고 마감 포장도 다 좋았습니다,케이블 라운드 니트 가디건[블랙],시그니처,M,아우터,정사이즈,화면과 비슷,,,마감,핏,"다, 포장","좋았습니다, 예쁘게",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,81298777,3798165,,,,,
G0026,0,member2,mixed_or_partial_rating4,4,4,스트라이프 티 찾다가 편해보여서 구매했어요 오버핏 좋아하는데 딱 좋네여 ㅎ 좀 얇긴한데 이너로 입으려고 산거라 괜찮은 것 같아요 주말껴서 배송은 좀 걸렸지만 그래도 빨리 배송 온 편이에요 세탁은 아직 안해봐서 세탁 후에도 변형 없었으면 좋겠네영 잘 입을께요:D,스탠다드 스트라이프 포켓 롱슬리브_블랙 / 화이트,바스틱,XL,아울렛,,,,,,"핏, 배송, 배송은","다, 좋아, 잘, 면, 같아, 같아요, 딱, 입을, 것 같아, 티, 긴, 것 같아요, 했어요, 이너, 괜찮은, 이너로, 아직, 보여서, 좋아하는, 빨리","구매했어요, 잘 입을",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,56099604,847182,,,,,
G0027,0,member3,partial_complaint_in_rating5,5,5,🧸핑크랑 브라운 배색 실물이 너무 이뿐데용~ 겨울이지만 아이가 열이 많아서 두꺼운 내복을 못입어용~ 그래서 집에서 편하게 입힐 좀 얇은 내복을 찾다가 발견했는뎅 아이가 보자마자 너무 좋아해서 대만족 중이에요! 🧸40수 코튼 원단이다 써있는데 그래서그런지 만졌을 때 부드럽구용 예민한 아이 피부에도 자극 없이 편안하게 입힐 수 있고 신축성도 좋아서 활동량 많은 우리 막둥이가 입고 뛰어놀기 딱이네용!! 🧸헨리 넥 디자인에 단추가 있지만 단추를 푸르지 않아도 머리가 쑤욱 들어가서 입고 벗기도 편하고 특히 넥라인에 들어간 브라운 배색이 포인트네요~ 내복티 안나고 예쁜 홈웨어 느낌나서 좋아용!! 🧸허리 밴딩이 짱짱하면서 배를 압박하지 않아 아이가 편해하고 발목이 쫄리면 아이가 불편해하는데 이건 너무 편하대용!! 🧸역시 믿고 사는 무탠다드 키즈네요. 가성비 최고에 퀄리티까지 좋아서 여러개 사고싶네요!! ❤️제 후기가 도움 되셨다면 도움돼요 한 번만 부탁드립니다! 감사합니다❤️,컬러 블록 헨리 넥 실내복 세트 [핑크/브라운],무신사 스탠다드 키즈,120,속옷/홈웨어,,,,매우 강함,불편,"색, 디자인, 가성비, 허리, 색이, 퀄리티, 원단, 얇은, 신축성, 원단이","다, 좋아, 들, 면, 수, 해서, 합니다, 하게, 딱, 때, 들어, 울, 티, 느낌, 입고, 입어, 편하게, 키, 않아, 중, 까지, 들어가, 막, 없이, 있고, 라인, 사고, 가서, 하면서, 있는데","편하고, 좋아서, 감사합니다, 역시, 좋아용, 실물이, 포인트, 만족, 수 있고, 짱, 대만족",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member3,불만 없음,,,81714248,3727896,,,,,
G0028,0,member2,partial_complaint_in_rating5,5,5,완전커요!!! 어깨끈도 넓어서 편하구 좋아용 완전 휘뚤마뚤 근데 지퍼가 없이 가운데 자석으로만 여닫는 방식이라 바닥에 가방이 떨어지면 짐이 다 쏟아져나와요ㅜ 그거빼곤 소재도 스크래치에 강하구 좋습니당!,CACTUS HOBO BAG [Black],샌드뮤지엄,NONE,가방,,,,,커요,소재,"다, 좋아, 면, 으로, 전, 가방, 완전, 끈, 없이, 짐, 가방이, 넓어","좋아용, 좋습니당",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,member2,,,,82710530,4450394,,,,,
G0029,0,member2,partial_complaint_in_rating5,5,5,디테일이 너무 좋음 후크 헨리넥+과하지 않은 스프라이트 패턴 때문에 유니크함 2. 옷 자체도 부드러움 맨살에 입어도 될듯 3. 저렴한 가격 쿠폰먹이고 적립금 먹이고 하니 4.5란 가격 합리적임 4. 포장이 너무 정성이어서 좋아요 1. 더스트백 동봉되는데 냄새가 넘 좋다. 그치만 옷을 꺼냈을 때 옷냄새는 좋지 않음 2. 옷이 부드러워서 세탁 관련 부분이 (보폴) 걱정이 된다,코브 후크 헨리넥 티셔츠 블랙,르아브,M,상의,,,,,냄새가,가격,"다, 좋아, 더, 때, 옷, 살, 듯, 입어, 넘, 옷이, 될, 않은, 포장, 되는, 저렴한, 좋음","좋아요, 입어도, 부드러워서, 과하지",FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,member2,,,,72273228,4806234,,,,,
G0030,0,member5,clear_complaint_low_rating,3,3,무진장 세일기간에 사서 가격대비 배송도 느리고 ㅠㅠ 그런데 느리게 받은 만큼 상태가 괜찮길 바랬는데 끈 마무리가 실밥 다 터져서 너무 속상하네요...,레디 마이크로 미니백 블랙 AP12-2324-BK,몽삭,FREE,가방,,,,,"실밥, 느리고","가격, 배송, 배송도, 가격대비","다, 하네요, 대비, 끈, 세일, 사서, 만큼",,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,member5,,,,63070039,1843109,,,,,
G0031,0,member1,ambiguous_low_rating_topic_only,3,3,평소 75B-C 입습니다 언더 무조건 하나 크게 사세요... 실측사이즈표랑 완전 다릅니당,츠메르브라 볼륨메이커_11colors,도로시와,블랙 · 80B,속옷/홈웨어,,,,,,사이즈,"다, 더, 전, 하나, 완전, 크게, 평소",,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,81944424,3922371,,,,,
G0032,0,member2,ambiguous_low_rating_topic_only,3,3,색상 튀는 색상 좋아하시면 좋은 컬러구요 간절기 필수 아이템이네요 괜챤아요,화이트라벨 트렌치코트_RED,유에스 폴로 어신,95,아우터,,,,,,"색, 색상","좋아, 면, 수, 좋은",,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member2,,,,77876157,3962316,,,,,
G0033,0,member1,clear_complaint_low_rating,1,1,상품은 그냥 기대한대로인 것 같은데요 포장이 완전 최악이네요 오래 됐거나 환불 된 거 보내주신 것 같은데. 이 정도면 그냥 일단 보내 보고 쓰면 된 거다~~ 수준 아니예요? 어떻게 그렇게 장사하시는지 .. 당장 써야 해서 그냥 쓰는데요 이런 식으로 하지마세요,2221 19인치 캔버스 숄더백 (BLACK),로스코,FREE,가방,,,,,"환불, 최악","상품, 상품은","다, 면, 수, 해서, 으로, 전, 정도, 같은, 완전, 보고, 일단, 포장, 기대, 이런",,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,6595681,327023,,,,,
G0034,,member4,mixed_or_partial_rating4,4,4,가격대비 질은 좋아요. 잘입고 다닐게요. 그런데 허리가 살짝 커서 벨트는 필수일것 같아요ㅠㅠ그래도 핏은 너무 예뻐요!,투턱 와이드 슬랙스 [블랙],시그니처,L,하의,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,member4,,,,80889661,1832530,,,,,
G0035,1,ALL,clear_complaint_low_rating,3,3,옷이 유아용일까 싶을 정도로 팔 길이도 작고 음… 작아요,투웨이 블루종 스웨이드 밴딩 점퍼 자켓 [브라운],플레이스 스튜디오,BRWON · FREE,아우터,,,,,작아요,"길이, 길이도","옷, 정도, 옷이, 정도로",,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,74896799,2701842,,,,,
G0036,,member4,clear_non_complaint_rating5,5,5,초2 남아 132/29 140사이즈 딱 잘 맞네요 너무 귀여워요,데일리 푸퍼 패딩 베스트 [블랙],무신사 스탠다드 키즈,140,아우터,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member4,,,,79494887,4223559,,,,,
G0037,0,member5,clear_complaint_low_rating,2,2,400ml 전용 물통을 넣고 뛰는데도 너무 흔들려서 불편해서 잘 사용을 안 합니다,클라우드 V3 블랙 (5L) 트레일러닝 베스트,오니지,NONE,가방,,,,,불편,,"다, 잘, 들, 해서, 합니다, 전, 사용, 넣고",편해서,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,member5,교차검증: 물통을 넣고 뛰어도 흔들려서 불편하고 사용하지 않는다고 명시되어 poor_comfort 추가.,,,67600928,4314761,,,,,
G0038,0,member1,partial_complaint_in_rating5,5,5,실측해보면 사이즈보다 작아요. 색이나 원단감은 화면 그대로네요,와이드 조거 스웻 팬츠 (MELANGE GRAY),토피,M,하의,조금 작음,화면과 비슷,,적당함,작아요,"색, 사이즈, 색이, 원단, 화면, 사이즈보다","다, 면, 보다",,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,82681517,1778385,,,,,
G0039,0,member5,mixed_or_partial_rating4,4,4,"허리 사이즈도 맞고, 길이감도 딱 좋은데, 앞 터임이 좀 있어서 살짝 부담스러운 부분이 있습니다. 걸을때, 앞터임이 있는데도 치마 폭이 좁아서 조금 불편함이 있습니다.",우먼즈 프론트 슬릿 데님 롱 스커트 [워시드 블랙],무신사 스탠다드 우먼,M,원피스/스커트,정사이즈,화면과 비슷,,,불편,"사이즈, 길이, 허리, 사이즈도, 길이감, 길이감도","다, 딱, 때, 있어, 좋은, 살, 있어서, 조금, 살짝, 있습니다, 있는데, 치마, 편함","맞고, 딱 좋은",TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,member5,,,,80403040,2448899,,,,,
G0040,,member4,partial_complaint_in_rating5,5,5,상품에 오염이 있었는데 바로 교환되서 좋았어요 실물이 더 예쁘네요,XT-6 - 화이트:화이트:루나 락 / L41252900,살로몬,280,신발,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member4,,,,80474424,1762407,,,,,
G0041,0,member5,mixed_or_partial_rating4,4,4,지금 날씨에 입기 좋은 두께!! 아주 얇은 바람막이아니고 쟈켓같은 두께감이라서 좋아요. 크기는 좀 커요 어깨가 넓어보이는 단점ㅜㅜ 그냥 편하게 막 걸치기 좋고 재질은 탄탄합니다,배색 테크 숏 자켓_라이트그린BES,코드그라피,라이트 그린 · L,아우터,조금 큼,화면과 비슷,두꺼움,,커요,"두께, 두께감, 얇은","다, 좋아, 합니다, 하게, 질, 입기, 좋은, 재질, 감이, 편하게, 날, 같은, 막, 크기, 지금, 날씨, 보이는, 입기 좋은, 넓어","좋아요, 좋고, 날씨에",FALSE,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,member5,,,,83224603,3791037,,,,,
G0042,,member4,partial_complaint_in_rating5,5,5,쫀쫀한 골지 소재감으로 불편하지 않게 입기 좋구요! 양사이드에 똑딱이가 있어서 더 멋스러워요!!,Mothers Worry Tank Top WHITE (W),펀치드렁크파티즈,FREE,상의,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member4,,,,46364616,3259433,,,,,
G0043,0,member1,partial_complaint_in_rating5,5,5,많이 이쁜거 같아요 가격이 말이 안됩니다 여유만 있으면 깔별로 살듯,[2PACK] 남성 퓨어 코튼 반팔티셔츠 5Color TS003,비버리힐스 폴로클럽,C02블랙+C15그레이 · 105,아울렛,,,,,"별로, 깔별로","가격, 가격이","다, 면, 같아, 같아요, 살, 듯, 거 같아요, 됩니다",이쁜,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,76708674,4984741,,불만 없음,,,
G0044,0,member1,clear_non_complaint_rating5,5,5,아들이 골라서 사달라고해서 사줬어요 좋아하네요,지미 듀스포 트랙자켓 (블랙),어반플레이어스,XL,아우터,,,,,,,"좋아, 들, 해서, 하네요, 아들",좋아하네요,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,member1,,,,78885720,2409192,,불만 없음,,,
